20191022,OPTION YEAR FOR SPECIAL STAINER INSTRUMENTATION, ASSOCIATED REAGENTS, SERVICE, AND MAINTENANCE,DEPARTMENT OF VETERANS AFFAIRS (VA),88100.0
20191023,PREVENTATIVE MAINTENANCE&REPAIR,DEPARTMENT OF DEFENSE (DOD),19961.4
20191023,SERVICE AND MAINTENANCE OF THE ERDCS SEAHORSE XFE24 ANALYZER U433D80,DEPARTMENT OF DEFENSE (DOD),11998.8
20191023,AGILENT 1260 INFINITY LIQUID CHROMATOGRAPHY SYSTEM,ENVIRONMENTAL PROTECTION AGENCY (EPA),61002.19
20191025,SERVICE CONTRACT-GCMS,DEPARTMENT OF AGRICULTURE (USDA),6146.16
20191028,IT SOFTWARE,NATIONAL GALLERY OF ART (SI),4189.86
20191028,BIOLOGICALS,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),16259.0
20191029,MAINTENANCE AGREEMENT,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),11998.8
20191031,ARTISAN LINK PRO STAINERS,DEPARTMENT OF DEFENSE (DOD),8210.0
20191101,SERVICE AGREEMENT FOR AGILENT TECHNOLOGIES GCMS 5975 TURBO SYSTEM.   PERIOD OF COVERAGE:  11/01/2019-09/30/2020.,DEPARTMENT OF AGRICULTURE (USDA),4270.97
20191104,GAS CHROMATOGRAPHY SYSTEMS AGILENT 7890B SERIES GC CUSTOM, 7693A AUTOINJECTOR, AND 7693 TRAY,DEPARTMENT OF HOMELAND SECURITY (DHS),59608.65
20191107,SERVICE FOR REPAIR OF SEAHORSE XFE96 ANALYZER TO INCLUDE PARTS,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),7953.0
20191108,GCMS CROSSLAB SILVER CONTRACT. QUOTATION # 5000718510.,DEPARTMENT OF AGRICULTURE (USDA),7407.84
20191113,SERVICE AGREEMENT,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),19898.52
20191114,MASS SPECTROMETER - BARBER,DEPARTMENT OF THE INTERIOR (DOI),222581.58
20191115,LM-E002,DEPARTMENT OF DEFENSE (DOD),58253.4
20191115,SERVICE CONTRACT FOR USDA-03973 DE04103973 BIOANALYZER 2100,DEPARTMENT OF AGRICULTURE (USDA),7525.08
20191115,1-YR SERVICE AGREEMENT FOR AGILENT TECHNOLOGIES MODEL 7890 GAS CHROMATOGRAPH WITH QUADRAPOLE MASS SPECTROMETER DETECTOR (GCMS) AND TELEDYNE ATOM-X PURGE AND TRAP SYSTEM,ENVIRONMENTAL PROTECTION AGENCY (EPA),10787.4
